Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 13.89      0.03     0.03        1    25.00   164.33  findSecStruct(std::vector<std::vector<std::pair<int, std::set<std::pair<int, int>, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > > >, std::allocator<std::pair<int, std::set<std::pair<int, int>, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > > > > >, std::allocator<std::vector<std::pair<int, std::set<std::pair<int, int>, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > > >, std::allocator<std::pair<int, std::set<std::pair<int, int>, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > > > > > > >&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, int)
 11.11      0.04     0.02  3683200     0.00     0.00  std::_Identity<std::pair<int, int> >::operator()(std::pair<int, int> const&) const
  8.33      0.06     0.01  5410240     0.00     0.00  validMatch(char, char)
  5.56      0.07     0.01  5031013     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<int, int> >::_M_addr()
  5.56      0.08     0.01  2664682     0.00     0.00  std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::_S_right(std::_Rb_tree_node_base*)
  5.56      0.09     0.01  1979548     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<int, int> > >::allocate(unsigned long, void const*)
  5.56      0.10     0.01  1958724     0.00     0.00  void __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<int, int> > >::construct<std::pair<int, int>, std::pair<int, int> const&>(std::pair<int, int>*, std::pair<int, int> const&)
  5.56      0.11     0.01  1930106     0.00     0.00  bool std::operator< <int, int>(std::pair<int, int> const&, std::pair<int, int> const&)
  5.56      0.12     0.01  1863548     0.00     0.00  std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::_M_end()
  5.56      0.13     0.01  1788106     0.00     0.00  std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::_M_rightmost()
  5.56      0.14     0.01  1071917     0.00     0.00  std::_Rb_tree_node<std::pair<int, int> >* std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::_M_clone_node<false, std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::_Reuse_or_alloc_node>(std::_Rb_tree_node<std::pair<int, int> >*, std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::_Reuse_or_alloc_node&)
